Название,IMO,MMSI,Тип,Ссылка,Ошибка
,,,,https://www.vesselfinder.com/ru/vessels?name=CFA23 01 63,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CFA23 02 66,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CFA23 04 51,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CFA23 08 46,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHAMP STAR,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHAMPION,"не все данные найдены: name='CHAMPION', imo='', mmsi='', type='Pleasure craft'"
,,,,https://www.vesselfinder.com/ru/vessels?name=CHANG AN 1,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHANG CHI,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHANG FU MEN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHANG HANG FENG CAI,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHANG HANG KAI TUO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHANG HANG YOU 188,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHANG JING 6,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHANG RONG 12,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHANG SHI 10,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHANG ZHI DU 9,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHENNAI VOYAGER,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHERNAYA BARABULKA,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHERNOMORETS 10,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHERNOMORETS 24,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHIMING,суда не найдены
,,,,https://www.vesselfinder.com/ru/vessels?name=CHO KWANG NO.101,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHOKWANG NO.105,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHOKWANG NO.7,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHOKWANG NO.9,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CHUN I NO.316,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CLEAN JUSTICE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=COIPO,суда не найдены
,,,,https://www.vesselfinder.com/ru/vessels?name=COMMEARE,"не все данные найдены: name='COMMEARE', imo='', mmsi='', type='Cargo ship'"
CONSCIENCE,7211440,550071155,Pleasure craft,https://www.vesselfinder.com/ru/vessels?name=CONSCIENCE,
,,,,https://www.vesselfinder.com/ru/vessels?name=CONTSHIP ERA,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CORONA MAJESTY,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CORSO DREAM,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CORSO MARINE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CORTINA,"не все данные найдены: name='CORTINA', imo='', mmsi='', type='Pleasure craft'"
,,,,https://www.vesselfinder.com/ru/vessels?name=COSCO AMERICA,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CRANE BARGE 2,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CRYSTAL JADE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CS ZHE JIANG,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CSCL SUMMER,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CSCL YELLOW SEA,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CSK ENDEAVOUR,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CSSC CAPE TOWN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=CUNADO 3,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=D SKALKEAS,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DA PIN YI HAO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DA QING 453,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DAE MYEONG 3,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DAE MYEONG 7 HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DAE SEONG 107,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DAE WON 2HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DAEMYEONG1,суда не найдены
,,,,https://www.vesselfinder.com/ru/vessels?name=DAITOMO 7,статус код: 400
DANIDIN,8513039,273215390,Other type,https://www.vesselfinder.com/ru/vessels?name=DANIDIN,
,,,,https://www.vesselfinder.com/ru/vessels?name=DAO JI 5,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DD VICTORY,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DD VIGILANT,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DD VOGUE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DD VOYAGER,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DEA RYONG NO.305,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DEBONAIR,"не все данные найдены: name='DEBONAIR', imo='', mmsi='', type='Pleasure craft'"
,,,,https://www.vesselfinder.com/ru/vessels?name=DELFIN,"не все данные найдены: name='DELFIN', imo='', mmsi='', type='Pleasure craft'"
DELPHI,9283796,636014336,Tanker (HAZ-C),https://www.vesselfinder.com/ru/vessels?name=DELPHI,
,,,,https://www.vesselfinder.com/ru/vessels?name=DEMI J,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DENSA SEAL,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DESTINY,"не все данные найдены: name='DESTINY', imo='', mmsi='', type='Pleasure craft'"
,,,,https://www.vesselfinder.com/ru/vessels?name=DIAMOND STAR,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DIAS WELL,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DIETRICH OLDENDORFF,статус код: 400
DIMA,9008043,273313660,Cargo ship,https://www.vesselfinder.com/ru/vessels?name=DIMA,
,,,,https://www.vesselfinder.com/ru/vessels?name=DIOMID,"не все данные найдены: name='DIOMID', imo='', mmsi='', type='Cargo ship'"
,,,,https://www.vesselfinder.com/ru/vessels?name=DL EMERALD,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DMITRIY RULEVSKIY,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DMITRIY SHEVCHENKO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DO YANG NO.7,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=DOBROFLOT,суда не найдены
